Shipment_ID,Region,Vehicle_Type,Weather,Traffic_Level,Priority,Distance_km,Shipment_Volume,Delivery_Time_min,Shipping_Cost,Customer_Rating,On_Time_Delivery
S0001,East,Bike,Clear,Medium,Express,30.6,14,96.3,339.44,3.9,No
S0002,North,Bike,Clear,High,Standard,21.1,36,99.4,313.59,4.2,No
S0003,East,Bike,Clear,Medium,Express,16.5,23,58.0,198.11,4.6,Yes
S0004,West,Bike,Cloudy,Medium,Express,25.9,66,77.6,386.66,4.6,No
S0005,North,Bike,Cloudy,Low,Express,18.1,2,61.0,174.09,5.0,Yes
S0006,East,Van,Rainy,Low,Standard,30.8,73,104.9,458.4,4.2,No
S0007,West,Bike,Clear,Low,Express,31.7,65,73.4,410.47,4.9,Yes
S0008,North,Van,Clear,High,Standard,15.9,75,66.6,294.14,5.0,Yes
S0009,West,Van,Cloudy,Medium,Standard,11.1,67,52.1,297.88,4.9,Yes
S0010,South,Van,Clear,Medium,Standard,21.5,52,67.4,348.47,5.0,Yes
S0011,South,Bike,Clear,Low,Express,32.1,62,78.7,442.98,4.9,No
S0012,North,Van,Clear,High,Express,9.0,23,40.2,205.62,5.0,Yes
S0013,East,Van,Clear,High,Express,22.6,26,87.6,353.42,4.5,No
S0014,North,Bike,Rainy,Low,Standard,22.8,68,84.3,351.94,4.7,No
S0015,West,Truck,Rainy,Low,Standard,26.2,55,80.1,431.49,4.1,No
S0016,East,Truck,Cloudy,Low,Express,6.3,6,47.4,182.51,4.9,Yes
S0017,South,Bike,Clear,Medium,Standard,25.6,35,97.5,304.01,4.6,No
S0018,East,Bike,Clear,Medium,Standard,32.0,22,93.9,296.44,4.5,No
S0019,South,Truck,Clear,Medium,Standard,7.9,43,59.8,261.2,5.0,Yes
S0020,East,Van,Clear,Low,Standard,9.8,15,34.6,144.04,4.7,Yes
S0021,East,Bike,Clear,Medium,Standard,34.1,60,104.9,434.84,4.7,No
S0022,East,Bike,Cloudy,Low,Standard,8.0,12,36.9,105.8,4.8,Yes
S0023,West,Van,Cloudy,Low,Standard,30.2,49,100.9,391.91,4.3,No
S0024,West,Van,Clear,Medium,Standard,18.2,42,64.1,287.81,5.0,Yes
S0025,North,Van,Rainy,Medium,Express,10.2,38,57.3,225.9,4.8,Yes
S0026,North,Van,Cloudy,High,Standard,30.7,45,104.7,406.74,3.9,No
S0027,South,Van,Cloudy,Low,Standard,16.7,35,70.1,298.29,4.6,Yes
S0028,West,Van,Cloudy,Medium,Standard,19.0,30,85.1,274.45,4.3,No
S0029,South,Bike,Clear,Medium,Standard,13.9,30,72.6,219.8,4.6,Yes
S0030,North,Bike,Clear,Low,Express,21.6,78,69.1,412.82,4.7,Yes
S0031,South,Van,Clear,Medium,Express,7.4,6,34.2,157.55,4.9,Yes
S0032,North,Truck,Cloudy,Low,Standard,14.9,67,66.1,361.19,4.3,Yes
S0033,West,Van,Clear,Low,Standard,34.0,7,89.4,349.02,4.5,No
S0034,East,Van,Clear,High,Express,10.5,52,67.2,253.71,4.4,Yes
S0035,West,Bike,Clear,High,Express,23.7,14,97.6,242.08,4.3,No
S0036,South,Van,Clear,High,Standard,12.7,73,63.1,318.37,5.0,Yes
S0037,South,Van,Rainy,Medium,Standard,27.5,15,104.4,329.07,4.4,No
S0038,West,Bike,Cloudy,Low,Standard,6.3,21,44.0,89.96,5.0,Yes
S0039,West,Bike,Clear,Medium,Express,34.0,35,79.0,379.63,5.0,No
S0040,North,Van,Clear,Medium,Standard,17.0,66,69.3,356.32,5.0,Yes
S0041,South,Bike,Clear,Low,Express,9.8,2,34.6,119.02,5.0,Yes
S0042,South,Bike,Clear,Medium,Standard,4.4,35,35.0,130.14,4.8,Yes
S0043,West,Bike,Clear,Low,Standard,7.6,78,32.1,218.65,5.0,Yes
S0044,East,Bike,Clear,High,Standard,19.2,20,84.4,197.44,4.7,No
S0045,South,Bike,Clear,Low,Standard,13.1,10,52.9,184.43,4.9,Yes
S0046,East,Truck,Cloudy,Medium,Standard,29.4,25,91.2,401.57,4.3,No
S0047,West,Van,Cloudy,Medium,Standard,16.2,66,67.3,343.84,5.0,Yes
S0048,West,Van,Clear,Medium,Standard,10.2,25,53.5,237.23,4.8,Yes
S0049,North,Van,Clear,Medium,Express,22.4,54,83.1,374.82,3.8,No
S0050,South,Van,Cloudy,Low,Standard,25.3,33,67.6,330.95,5.0,Yes
S0051,East,Bike,Clear,High,Standard,7.5,36,58.3,172.7,5.0,Yes
S0052,North,Van,Rainy,High,Express,7.5,14,65.6,152.9,4.7,Yes
S0053,South,Van,Cloudy,High,Express,3.2,65,54.8,,5.0,Yes
S0054,North,Van,Clear,High,Express,26.3,54,89.1,394.46,4.5,No
S0055,West,Van,Clear,Medium,Express,23.9,52,81.6,348.15,3.7,No
S0056,South,Bike,Cloudy,High,Standard,17.7,3,72.6,147.82,4.8,Yes
S0057,North,Bike,Clear,Low,Standard,29.9,41,76.0,340.24,4.9,No
S0058,North,Van,Cloudy,Low,Express,28.6,6,79.5,313.46,5.0,No
S0059,East,Van,Rainy,Low,Standard,21.3,25,64.9,325.83,4.8,Yes
S0060,North,Van,Cloudy,Medium,Standard,30.7,13,88.2,339.18,4.1,No
S0061,South,Van,Clear,Medium,Express,8.8,8,37.8,175.04,5.0,Yes
S0062,South,Truck,Cloudy,Low,Standard,5.7,21,46.4,205.03,5.0,Yes
S0063,East,Van,Clear,High,Standard,10.9,68,50.6,314.13,4.8,Yes
S0064,South,Bike,Clear,Medium,Standard,3.9,25,41.4,144.34,5.0,Yes
S0065,West,Bike,Rainy,Low,Standard,19.5,79,82.2,366.72,,No
